token,ind_no,focus_condition,diortri,sandhi_tone,syntax_iniTone,sandhi_tone_var
小青椒,S6_29_di_3,di_3,tri,,1+2MH_HTs,
小青椒,S6_29_1,1,tri,,1+2MH_HTs,
买杨梅,S6_32_di_3,di_3,tri,,1+2VO_LT,
小水牛,S6_39_tri,tri,tri,,1+2MH_HTs,
樱桃籽,S6_9_di_3,di_3,tri,,2+1LL_HTp,
采樱花,S6_33_3,3,tri,,1+2VO_HTs,
草莓籽,S6_10_3,3,tri,,2+1LL_HTs,
买茶人,S6_41_1,1,tri,,2+1VL_LT,
修门工,S6_7_3,3,tri,,2+1VL_HTp,
新皮鞋,S6_14_2,2,tri,,1+2MH_HTp,
买黄瓜,S6_18_3,3,tri,,1+2VO_LT,
苦瓜皮,S6_31_tri,tri,tri,,2+1LL_HTs,
草莓籽,S6_10_tri,tri,tri,,2+1LL_HTs,
买花人,S6_22_tri,tri,tri,,2+1VL_LT,
新皮鞋,S6_14_3,3,tri,,1+2MH_HTp,
买樱桃,S6_24_3,3,tri,,1+2VO_LT,
小杨梅,S6_12_2,2,tri,,1+2MH_HTs,
苦瓜皮,S6_31_1,1,tri,,2+1LL_HTs,
新皮袄,S6_5_di_3,di_3,tri,,1+2MH_HTp,
买青椒,S6_4_2,2,tri,,1+2VO_LT,
苦瓜皮,S6_31_2,2,tri,,2+1LL_HTs,
小水牛,S6_39_2,2,tri,,1+2MH_HTs,
小黄瓜,S6_1_2,2,tri,,1+2MH_HTs,
青椒皮,S6_44_tri,tri,tri,,2+1LL_HTp,
青椒籽,S6_38_3,3,tri,,2+1LL_HTp,
樱桃皮,S6_23_1,1,tri,,2+1LL_HTp,
老杨梅,S6_8_2,2,tri,,1+2MH_LT,
小青椒,S6_29_3,3,tri,,1+2MH_HTs,
水牛毛,S6_25_di_3,di_3,tri,,2+1LL_HTs,
开锁人,S6_43_tri,tri,tri,,2+1VL_HTp,
造船厂,S6_28_1,1,tri,,2+1VL_LT,
老樱桃,S6_13_di_3,di_3,tri,,1+2MH_LT,
买杨梅,S6_32_2,2,tri,,1+2VO_LT,
小青椒,S6_29_tri,tri,tri,,1+2MH_HTs,
采杨梅,S6_15_2,2,tri,,1+2VO_HTs,
苦瓜籽,S6_17_1,1,tri,,2+1LL_HTs,
造船厂,S6_28_2,2,tri,,2+1VL_LT,
采樱桃,S6_40_2,2,tri,,1+2VO_HTs,
草莓籽,S6_10_di_3,di_3,tri,,2+1LL_HTs,
采樱桃,S6_40_di_3,di_3,tri,,1+2VO_HTs,
小杨梅,S6_12_di_3,di_3,tri,,1+2MH_HTs,
杨桃皮,S6_26_tri,tri,tri,,2+1LL_LT,
小樱桃,S6_37_2,2,tri,,1+2MH_HTs,
小青椒,S6_29_2,2,tri,,1+2MH_HTs,
买杨梅,S6_32_tri,tri,tri,,1+2VO_LT,
小苦瓜,S6_34_3,3,tri,,1+2MH_HTs,
新皮袄,S6_5_1,1,tri,,1+2MH_HTp,
买樱桃,S6_24_2,2,tri,,1+2VO_LT,
小樱桃,S6_37_di_3,di_3,tri,,1+2MH_HTs,
水牛毛,S6_25_1,1,tri,,2+1LL_HTs,
开门人,S6_21_2,2,tri,,2+1VL_HTp,
采梅花,S6_3_2,2,tri,,1+2VO_HTs,
造船厂,S6_28_di_3,di_3,tri,,2+1VL_LT,
老黄瓜,S6_16_3,3,tri,,1+2MH_LT,
樱桃皮,S6_23_3,3,tri,,2+1LL_HTp,
采樱桃,S6_40_3,3,tri,,1+2VO_HTs,
买青椒,S6_4_3,3,tri,,1+2VO_LT,
小黄瓜,S6_1_tri,tri,tri,,1+2MH_HTs,
开锁人,S6_43_2,2,tri,,2+1VL_HTp,
杨桃皮,S6_26_3,3,tri,,2+1LL_LT,
修车工,S6_36_2,2,tri,,2+1VL_HTp,
青椒皮,S6_44_2,2,tri,,2+1LL_HTp,
老黄瓜,S6_16_tri,tri,tri,,1+2MH_LT,
新皮鞋,S6_14_di_3,di_3,tri,,1+2MH_HTp,
新手链,S6_27_3,3,tri,,1+2MH_HTp,
新手链,S6_27_1,1,tri,,1+2MH_HTp,
